anio,concepto,rotulo,documento_origen,estado_financiero,pagina,nota,evidencia_linea,valor_pdf,valor_consolidado,coincide,estado,confianza
2022,b_reservas,Reservas,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Reservas 24 95.866 105.106,95866,95866.0,True,ACEPTADO,ALTA
2023,b_reservas,Reservas,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Reservas 24 92.364 95.866,92364,92364.0,True,ACEPTADO,ALTA
2024,b_reservas,Reservas,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Reservas 25 102.631 92.364,102631,102631.0,True,ACEPTADO,ALTA
2025,b_reservas,Reservas,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Reservas 24 118.595 102.631,118595,118595.0,True,ACEPTADO,ALTA
2020,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad del periodo 47.632 58.220,58220,58220.0,True,ACEPTADO,ALTA
2021,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad del periodo 47.632 58.220,47632,47632.0,True,ACEPTADO,ALTA
2022,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad del periodo 36.237 47.632,36237,36237.0,True,ACEPTADO,ALTA
2023,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad del periodo 70.126 36.237,70126,70126.0,True,ACEPTADO,ALTA
2024,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Utilidad del periodo 20.997 70.126,20997,20997.0,True,ACEPTADO,ALTA
2025,b_utilidad_periodo,Utilidad del periodo,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad del periodo 30.947 20.997,30947,30947.0,True,ACEPTADO,ALTA
2020,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad de ejercicios anteriores 708 708,708,708.0,True,ACEPTADO,ALTA
2021,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad de ejercicios anteriores 708 708,708,708.0,True,ACEPTADO,ALTA
2022,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad de ejercicios anteriores 708 708,708,708.0,True,ACEPTADO,ALTA
2023,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad de ejercicios anteriores 708 708,708,708.0,True,ACEPTADO,ALTA
2024,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Utilidad de ejercicios anteriores 708 708,708,708.0,True,ACEPTADO,ALTA
2025,b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Utilidad de ejercicios anteriores 708 708,708,708.0,True,ACEPTADO,ALTA
2020,b_efecto_ncif,Efecto NCIF,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Aplicación Normas de Contabilidad y de Información Financiera - NCIF / Efecto aplicación 14.179 14.179,14179,14179.0,True,ACEPTADO,ALTA
2021,b_efecto_ncif,Efecto NCIF,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Aplicación Normas de Contabilidad y de Información Financiera - NCIF / Efecto aplicación 14.179 14.179,14179,14179.0,True,ACEPTADO,ALTA
2022,b_efecto_ncif,Efecto NCIF,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Aplicación Normas de Contabilidad y de Información Financiera -NCIF / Efecto 14.179 14.179,14179,14179.0,True,ACEPTADO,ALTA
2023,b_efecto_ncif,Efecto NCIF,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Aplicación Normas de Contabilidad y de Información Financiera -NCIF / Efecto 14.179 14.179,14179,14179.0,True,ACEPTADO,ALTA
2024,b_efecto_ncif,Efecto NCIF,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Aplicación Normas de Contabilidad y de Información Financiera -NCIF / Efecto 14.179 14.179,14179,14179.0,True,ACEPTADO,ALTA
2025,b_efecto_ncif,Efecto NCIF,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Aplicación Normas de Contabilidad y de Información Financiera -NCIF / Efecto 14.179 14.179,14179,14179.0,True,ACEPTADO,ALTA
2020,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Ganancias o pérdidas no realizadas (ORI) 26 6.000 6.500,6500,6500.0,True,ACEPTADO,ALTA
2021,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Ganancias o pérdidas no realizadas (ORI) 26 6.000 6.500,6000,6000.0,True,ACEPTADO,ALTA
2022,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Ganancias o pérdidas no realizadas (ORI) Resultado por valorización 25 7.072 6.000,7072,7072.0,True,ACEPTADO,ALTA
2023,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Ganancias o pérdidas no realizadas (ORI) Resultado por valorización 25 7.009 7.072,7009,7009.0,True,ACEPTADO,ALTA
2024,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Ganancias o pérdidas no realizadas (ORI) Resultado por valorización 26 7.079 7.009,7079,7079.0,True,ACEPTADO,ALTA
2025,b_ori_valorizacion,Ganancias no realizadas (ORI),Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Ganancias o pérdidas no realizadas (ORI) Resultado por valorización 25 14.142 7.079,14142,14142.0,True,ACEPTADO,ALTA
2020,b_patrimonio_total,Total patrimonio,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total patrimonio $ 282.888 $ 293.000,293000,293000.0,True,ACEPTADO,ALTA
2021,b_patrimonio_total,Total patrimonio,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total patrimonio $ 282.888 $ 293.000,282888,282888.0,True,ACEPTADO,ALTA
2022,b_patrimonio_total,Total patrimonio,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total patrimonio 22 $ 263.325 $ 282.888,263325,263325.0,True,ACEPTADO,ALTA
2023,b_patrimonio_total,Total patrimonio,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total patrimonio 22 $ 293.649 $ 263.325,293649,293649.0,True,ACEPTADO,ALTA
2024,b_patrimonio_total,Total patrimonio,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Total, patrimonio 23 $ 254.857 $ 293.649",254857,254857.0,True,ACEPTADO,ALTA
2025,b_patrimonio_total,Total patrimonio,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Total, patrimonio 22 $ 287.834 $ 254.857",287834,287834.0,True,ACEPTADO,ALTA
2020,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de pasivos y patrimonio $ 348.286 $ 359.005,359005,359005.0,True,ACEPTADO,ALTA
2021,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de pasivos y patrimonio $ 348.286 $ 359.005,348286,348286.0,True,ACEPTADO,ALTA
2022,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de pasivos y patrimonio $ 334.823 $ 348.286,334823,334823.0,True,ACEPTADO,ALTA
2023,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de pasivos y patrimonio $ 375.984 $ 334.823,375984,375984.0,True,ACEPTADO,ALTA
2024,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Total, de pasivos y patrimonio $ 314.960 $ 375.984",314960,314960.0,True,ACEPTADO,ALTA
2025,b_total_pasivo_patrimonio,Total pasivo y patrimonio,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Total, de pasivos y patrimonio $ 348.129 $ 314.960",348129,348129.0,True,ACEPTADO,ALTA
2020,i_comisiones,Comisiones y honorarios,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Comisiones y honorarios $ 187.571 $ 168.993,168993,168993.0,True,ACEPTADO,ALTA
2021,i_comisiones,Comisiones y honorarios,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Comisiones y honorarios $ 187.571 $ 168.993,187571,187571.0,True,ACEPTADO,ALTA
2022,i_comisiones,Comisiones y honorarios,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Comisiones y honorarios $ 207.295 $ 187.571,207295,207295.0,True,ACEPTADO,ALTA
2023,i_comisiones,Comisiones y honorarios,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Comisiones y honorarios $ 195.117 $ 207.295,195117,195117.0,True,ACEPTADO,ALTA
2024,i_comisiones,Comisiones y honorarios,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Comisiones y honorarios $ 197.611 $ 195.117,197611,197611.0,True,ACEPTADO,ALTA
2025,i_comisiones,Comisiones y honorarios,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Comisiones y honorarios $ 228.192 $ 197.611,228192,228192.0,True,ACEPTADO,ALTA
2020,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Ingresos de actividades en operaciones conjuntas 16.690 27.805,27805,27805.0,True,ACEPTADO,ALTA
2021,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Ingresos de actividades en operaciones conjuntas 16.690 27.805,16690,16690.0,True,ACEPTADO,ALTA
2022,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Ingresos de actividades en operaciones conjuntas 12.691 16.690,12691,12691.0,True,ACEPTADO,ALTA
2023,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Ingresos de actividades en operaciones conjuntas 25.837 12.691,25837,25837.0,True,ACEPTADO,ALTA
2024,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Ingresos de actividades en operaciones conjuntas 29.141 25.837,29141,29141.0,True,ACEPTADO,ALTA
2025,i_ingresos_operaciones_conjuntas,Ingresos operaciones conjuntas,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Ingresos de actividades en operaciones conjuntas 32.611 29.141,32611,32611.0,True,ACEPTADO,ALTA
2020,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Resultado antes de gastos de operación 27 204.261 196.798,196798,196798.0,True,ACEPTADO,ALTA
2021,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Resultado antes de gastos de operación 27 204.261 196.798,204261,204261.0,True,ACEPTADO,ALTA
2022,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado antes de gastos de operación 26 219.986 204.261,219986,219986.0,True,ACEPTADO,ALTA
2023,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado antes de gastos de operación 26 220.954 219.986,220954,220954.0,True,ACEPTADO,ALTA
2024,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Resultado antes de gastos de operación 27 226.752 220.954,226752,226752.0,True,ACEPTADO,ALTA
2025,i_utilidad_bruta,Resultado antes de gastos de operacion,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado antes de gastos de operación 26 260.803 226.752,260803,260803.0,True,ACEPTADO,ALTA
2020,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Beneficios a empleados 28 29.709 31.241,31241,31241.0,True,ACEPTADO,ALTA
2021,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Beneficios a empleados 28 29.709 31.241,29709,29709.0,True,ACEPTADO,ALTA
2022,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Beneficios a empleados 27 34.482 29.709,34482,34482.0,True,ACEPTADO,ALTA
2023,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Beneficios a empleados 27 40.726 34.482,40726,40726.0,True,ACEPTADO,ALTA
2024,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Beneficios a empleados 28 47.165 40.726,47165,47165.0,True,ACEPTADO,ALTA
2025,i_gasto_beneficios,Gasto beneficios a empleados,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Beneficios a empleados 27 52.971 47.165,52971,52971.0,True,ACEPTADO,ALTA
2020,i_gastos_administracion,Gastos de administracion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Gastos de administración 29 67.724 73.157,73157,73157.0,True,ACEPTADO,ALTA
2021,i_gastos_administracion,Gastos de administracion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Gastos de administración 29 67.724 73.157,67724,67724.0,True,ACEPTADO,ALTA
2022,i_gastos_administracion,Gastos de administracion,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Gastos de administración 28 78.846 67.724,78846,78846.0,True,ACEPTADO,ALTA
2023,i_gastos_administracion,Gastos de administracion,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Gastos de administración 28 96.291 78.846,96291,96291.0,True,ACEPTADO,ALTA
2024,i_gastos_administracion,Gastos de administracion,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Gastos de administración 29 129.257 96.291,129257,129257.0,True,ACEPTADO,ALTA
2025,i_gastos_administracion,Gastos de administracion,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Gastos de administración 28 136.700 129.257,136700,136700.0,True,ACEPTADO,ALTA
2020,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Gastos de actividades en operaciones conjuntas 30 10.827 13.092,13092,13092.0,True,ACEPTADO,ALTA
2021,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Gastos de actividades en operaciones conjuntas 30 10.827 13.092,10827,10827.0,True,ACEPTADO,ALTA
2022,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Gastos de actividades en operaciones conjuntas 29 8.627 10.827,8627,8627.0,True,ACEPTADO,ALTA
2023,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Gastos de actividades en operaciones conjuntas 29 9.867 8.627,9867,9867.0,True,ACEPTADO,ALTA
2024,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Gastos de actividades en operaciones conjuntas 30 16.582 9.867,16582,16582.0,True,ACEPTADO,ALTA
2025,i_gastos_operaciones_conjuntas,Gastos operaciones conjuntas,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Gastos de actividades en operaciones conjuntas 29 17.634 16.582,17634,17634.0,True,ACEPTADO,ALTA
2020,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,"Deterioro cuentas por cobrar, neto 31 2.199 (331)",-331,-331.0,True,ACEPTADO,ALTA
2021,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,"Deterioro cuentas por cobrar, neto 31 2.199 (331)",2199,2199.0,True,ACEPTADO,ALTA
2022,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,"Deterioro cuentas por cobrar, neto 30 2.130 2.199",2130,2130.0,True,ACEPTADO,ALTA
2023,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,"Deterioro cuentas por cobrar, neto 30 5.378 2.130",5378,5378.0,True,ACEPTADO,ALTA
2024,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,"Deterioro cuentas por cobrar, neto 31 (617) 5.378",-617,-617.0,True,ACEPTADO,ALTA
2025,i_deterioro_cxc,Deterioro cuentas por cobrar,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,"Deterioro cuentas por cobrar, neto 30 811 (617)",811,811.0,True,ACEPTADO,ALTA
2020,i_depreciaciones,Depreciacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Depreciación 32 2.769 4.099,4099,4099.0,True,ACEPTADO,ALTA
2021,i_depreciaciones,Depreciacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Depreciación 32 2.769 4.099,2769,2769.0,True,ACEPTADO,ALTA
2022,i_depreciaciones,Depreciacion,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Depreciaciones 31 2.087 2.769,2087,2087.0,True,ACEPTADO,ALTA
2023,i_depreciaciones,Depreciacion,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Depreciaciones 31 2.022 2.087,2022,2022.0,True,ACEPTADO,ALTA
2024,i_depreciaciones,Depreciacion,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Depreciaciones 32 2.253 2.022,2253,2253.0,True,ACEPTADO,ALTA
2025,i_depreciaciones,Depreciacion,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Depreciaciones 31 2.623 2.253,2623,2623.0,True,ACEPTADO,ALTA
2020,i_amortizaciones,Amortizacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Amortización 33 11.727 9.786,9786,9786.0,True,ACEPTADO,ALTA
2021,i_amortizaciones,Amortizacion,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Amortización 33 11.727 9.786,11727,11727.0,True,ACEPTADO,ALTA
2022,i_amortizaciones,Amortizacion,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Amortizaciones 32 13.543 11.727,13543,13543.0,True,ACEPTADO,ALTA
2023,i_amortizaciones,Amortizacion,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Amortizaciones 32 8.272 13.543,8272,8272.0,True,ACEPTADO,ALTA
2024,i_amortizaciones,Amortizacion,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Amortizaciones 33 12.562 8.272,12562,12562.0,True,ACEPTADO,ALTA
2025,i_amortizaciones,Amortizacion,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Amortizaciones 32 13.269 12.562,13269,13269.0,True,ACEPTADO,ALTA
2020,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Resultado después de Gastos Operación $ 79.306 $ 65.754,65754,65754.0,True,ACEPTADO,ALTA
2021,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Resultado después de Gastos Operación $ 79.306 $ 65.754,79306,79306.0,True,ACEPTADO,ALTA
2022,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado después de Gastos Operación $ 80.271 $ 79.306,80271,80271.0,True,ACEPTADO,ALTA
2023,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado después de Gastos Operación $ 58.398 $ 80.271,58398,58398.0,True,ACEPTADO,ALTA
2024,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Resultado después de Gastos Operación $ 19.550 $ 58.398,19550,19550.0,True,ACEPTADO,ALTA
2025,i_resultado_despues_gastos,Resultado despues de gastos,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado después de Gastos Operación $ 36.795 $ 19.550,36795,36795.0,True,ACEPTADO,ALTA
2020,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,"Resultado financiero, neto 34 $ (8.318) $ 17.791",17791,17791.0,True,ACEPTADO,ALTA
2021,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,"Resultado financiero, neto 34 $ (8.318) $ 17.791",-8318,-8318.0,True,ACEPTADO,ALTA
2022,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,"Resultado financiero, neto 33 $ (12.216) $ (8.318)",-12216,-12216.0,True,ACEPTADO,ALTA
2023,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,"Resultado financiero, neto 33 $ 60.266 $ (12.216)",60266,60266.0,True,ACEPTADO,ALTA
2024,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,"Resultado financiero, neto 34 $ 11.976 $ 60.266",11976,11976.0,True,ACEPTADO,ALTA
2025,i_resultado_financiero_neto,Resultado financiero neto,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,"Resultado financiero, neto 33 $ 18.185 $ 11.976",18185,18185.0,True,ACEPTADO,ALTA
2020,i_resultado_operacional,Resultado operacional,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Resultado operacional $ 70.988 $ 83.545,83545,83545.0,True,ACEPTADO,ALTA
2021,i_resultado_operacional,Resultado operacional,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Resultado operacional $ 70.988 $ 83.545,70988,70988.0,True,ACEPTADO,ALTA
2022,i_resultado_operacional,Resultado operacional,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado operacional $ 68.055 $ 70.988,68055,68055.0,True,ACEPTADO,ALTA
2023,i_resultado_operacional,Resultado operacional,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado operacional $ 118.664 $ 68.055,118664,118664.0,True,ACEPTADO,ALTA
2024,i_resultado_operacional,Resultado operacional,Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,Resultado operacional $ 31.526 $ 118.664,31526,31526.0,True,ACEPTADO,ALTA
2025,i_resultado_operacional,Resultado operacional,Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado operacional $ 54.980 $ 31.526,54980,54980.0,True,ACEPTADO,ALTA
2020,i_otros_ingresos_egresos,Otros ingresos/(egresos),Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,"Otros ingresos (egresos), neto 35 1.180 6.612",6612,6612.0,True,ACEPTADO,ALTA
2021,i_otros_ingresos_egresos,Otros ingresos/(egresos),Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,"Otros ingresos (egresos), neto 35 1.180 6.612",1180,1180.0,True,ACEPTADO,ALTA
2022,i_otros_ingresos_egresos,Otros ingresos/(egresos),Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,"Otros ingresos (egresos), neto 34 (2.926) 1.180",-2926,-2926.0,True,ACEPTADO,ALTA
2023,i_otros_ingresos_egresos,Otros ingresos/(egresos),Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,"Otros ingresos (egresos), neto 34 (165) (2.926)",-165,-165.0,True,ACEPTADO,ALTA
2024,i_otros_ingresos_egresos,Otros ingresos/(egresos),Estados Financieros_2024.pdf,ESTADOS DE RESULTADO INTEGRALES,3,,"Otros ingresos (egresos), neto 35 5.089 (165)",5089,5089.0,True,ACEPTADO,ALTA
2025,i_otros_ingresos_egresos,Otros ingresos/(egresos),Estados Financieros_2025.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,"Otros ingresos (egresos), neto 34 3.256 5.089",3256,3256.0,True,ACEPTADO,ALTA
2020,i_resultado_antes_impuestos,Resultado antes de impuestos,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Resultado antes de impuestos a las ganancias 72.168 90.157,90157,90157.0,True,ACEPTADO,ALTA
2021,i_resultado_antes_impuestos,Resultado antes de impuestos,Estados Financieros_2021.pdf,ESTADO DE RESULTADO INTEGRAL,2,,Resultado antes de impuestos a las ganancias 72.168 90.157,72168,72168.0,True,ACEPTADO,ALTA
2022,i_resultado_antes_impuestos,Resultado antes de impuestos,Estados Financieros_2022.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado antes de impuestos a las ganancias 65.129 72.168,65129,65129.0,True,ACEPTADO,ALTA
2023,i_resultado_antes_impuestos,Resultado antes de impuestos,Estados Financieros_2023.pdf,ESTADOS DE RESULTADO INTEGRALES,2,,Resultado antes de impuestos a las ganancias 118.499 65.129,118499,118499.0,True,ACEPTADO,ALTA
