anio,concepto,rotulo,documento_origen,estado_financiero,pagina,nota,evidencia_linea,valor_pdf,valor_consolidado,coincide,estado,confianza
2020,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,12.2,"Activo por impuesto diferido, neto 12.2 1.343 -",,,True,ACEPTADO,ALTA
2021,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,12.2,"Activo por impuesto diferido, neto 12.2 1.343 -",1343,1343.0,True,ACEPTADO,ALTA
2022,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,11.2,"Activo por impuesto diferido, neto 11.2 8.963 1.343",8963,8963.0,True,ACEPTADO,ALTA
2023,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,11.2,"Activo por impuesto diferido, neto 11.2 2.766 8.963",2766,2766.0,True,ACEPTADO,ALTA
2024,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Activo por impuesto diferido, neto 12 9.071 2.766",9071,9071.0,True,ACEPTADO,ALTA
2025,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Activo por impuesto diferido, neto 12 11.609 9.071",11609,11609.0,True,ACEPTADO,ALTA
2020,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros activos no financieros, neto 13 2.812 1.767",1767,1767.0,True,ACEPTADO,ALTA
2021,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros activos no financieros, neto 13 2.812 1.767",2812,2812.0,True,ACEPTADO,ALTA
2022,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros activos no financieros, neto 12 3.317 2.812",3317,3317.0,True,ACEPTADO,ALTA
2023,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros activos no financieros, neto 12 4.136 3.317",4136,4136.0,True,ACEPTADO,ALTA
2024,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Otros activos no financieros, neto 13 4.772 4.136",4772,4772.0,True,ACEPTADO,ALTA
2025,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros activos no financieros, neto 13 5.131 4.772",5131,5131.0,True,ACEPTADO,ALTA
2020,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Propiedades y equipo, neto 14 16.302 17.657",17657,17657.0,True,ACEPTADO,ALTA
2021,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Propiedades y equipo, neto 14 16.302 17.657",16302,16302.0,True,ACEPTADO,ALTA
2022,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Propiedades y equipo, neto 13 18.183 16.302",18183,18183.0,True,ACEPTADO,ALTA
2023,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Propiedades y equipo, neto 13 18.178 18.183",18178,18178.0,True,ACEPTADO,ALTA
2024,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Propiedades y equipo, neto 14 17.700 18.178",17700,17700.0,True,ACEPTADO,ALTA
2025,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Propiedades y equipo, neto 14 21.834 17.700",21834,21834.0,True,ACEPTADO,ALTA
2020,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso Activo 17 6.641 8.820,8820,8820.0,True,ACEPTADO,ALTA
2021,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso Activo 17 6.641 8.820,6641,6641.0,True,ACEPTADO,ALTA
2022,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso Activo 16 5.135 6.641,5135,5135.0,True,ACEPTADO,ALTA
2023,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso Activo 15 5.180 5.135,5180,5180.0,True,ACEPTADO,ALTA
2024,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Derecho en uso Activo 15 5.026 5.180,5026,5026.0,True,ACEPTADO,ALTA
2025,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso Activo 15 4.288 5.026,4288,4288.0,True,ACEPTADO,ALTA
2020,b_activos_intangibles,Activos intangibles,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Activos intangibles, neto 15 11.594 14.445",14445,14445.0,True,ACEPTADO,ALTA
2021,b_activos_intangibles,Activos intangibles,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Activos intangibles, neto 15 11.594 14.445",11594,11594.0,True,ACEPTADO,ALTA
2022,b_activos_intangibles,Activos intangibles,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Activos intangibles, neto 14 6.528 11.594",6528,6528.0,True,ACEPTADO,ALTA
2023,b_activos_intangibles,Activos intangibles,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Activos intangibles, neto 14 9.112 6.528",9112,9112.0,True,ACEPTADO,ALTA
