id_indicador,clasificacion,indicador,formula,carpeta_powerbi,unidad
53,Cobertura y capacidad de pago,Indice de Cobertura del Servicio de la Deuda,Flujo de caja disponible para deuda / Servicio total de la deuda,Estructura & Riesgo,veces
54,Cobertura y capacidad de pago,Deuda financiera,Obligaciones financieras corrientes + Obligaciones no corrientes,Estructura & Riesgo,moneda
55,Cobertura y capacidad de pago,Deuda financiera / EBITDA,Obligaciones Financieras / EBITDA,Estructura & Riesgo,veces
56,Cobertura y capacidad de pago,Deuda financiera neta / EBITDA,(Deuda financiera - Efectivo) / EBITDA,Estructura & Riesgo,veces
57,Crecimiento,Crecimiento de ingresos,(Ingresos actual / Ingresos anterior) - 1,Rentabilidad & EVA,ratio
58,Crecimiento,Crecimiento del EBITDA,(EBITDA actual / EBITDA anterior) - 1,Rentabilidad & EVA,ratio
59,Crecimiento,Crecimiento del resultado operativo,(RO actual / RO anterior) - 1,Rentabilidad & EVA,ratio
60,Crecimiento,Crecimiento de utilidad neta,(Utilidad neta actual / anterior) - 1,Rentabilidad & EVA,ratio
61,Crecimiento,Crecimiento de activos,(Activo total actual / anterior) - 1,Rentabilidad & EVA,ratio
62,Calidad de resultados,Calidad de resultados,Flujo de efectivo de actividades operativas / Utilidad neta,Estructura & Riesgo,ratio
63,Calidad de resultados,Rotacion de activos,Ingresos operacionales / Activos totales,Estructura & Riesgo,ratio
64,Calidad de resultados,Multiplicador de capital,((Activo actual + Activo anterior)/2) / ((Patrimonio actual + Patrimonio anterior)/2),Estructura & Riesgo,ratio
65,Creacion de valor y DuPont,ROE DuPont,Margen neto x Rotacion de activos x Multiplicador de capital,Rentabilidad & EVA,ratio
