periodo,deuda_financiera_total,patrimonio_total,capital_empleado,intereses_pagados_abs,costo_deuda_bruto,tasa_estatutaria,costo_deuda_neto,proporcion_deuda,proporcion_patrimonio,roic,wacc,estado
2020,9689.0,293000.0,302689.0,928.0,0.095779,0.32,0.06513,0.03201,0.96799,,,NO_CALCULABLE
2021,7767.0,282888.0,290655.0,746.0,0.096047,0.31,0.066273,0.026722,0.973278,0.769098,0.750317,ACEPTADO
2022,6207.0,263325.0,269532.0,670.0,0.107943,0.35,0.070163,0.023029,0.976971,0.696987,0.682552,ACEPTADO
2023,6331.0,293649.0,299980.0,667.0,0.105355,0.35,0.06848,0.021105,0.978895,0.336844,0.331181,ACEPTADO
2024,6117.0,254857.0,260974.0,695.0,0.113618,0.35,0.073852,0.023439,0.976561,0.223575,0.220066,ACEPTADO
2025,5306.0,287834.0,293140.0,578.0,0.108933,0.35,0.070807,0.018101,0.981899,0.365617,0.360281,ACEPTADO
