grupo,check,anio,formula,izquierda,derecha,diferencia_abs,diferencia_rel,estado
D_Descomposicion_Efectivo,Restringido + Sin restriccion = Inicio,2021,restriccion + sin_restriccion = c_efectivo_inicio,43925.0,43925.0,0.0,0.0,ACEPTADO
D_Descomposicion_Efectivo,Restringido + Sin restriccion = Inicio,2022,restriccion + sin_restriccion = c_efectivo_inicio,20991.0,20991.0,0.0,0.0,ACEPTADO
D_Descomposicion_Efectivo,Restringido + Sin restriccion = Inicio,2023,restriccion + sin_restriccion = c_efectivo_inicio,20559.0,20559.0,0.0,0.0,ACEPTADO
D_Descomposicion_Efectivo,Restringido + Sin restriccion = Inicio,2024,restriccion + sin_restriccion = c_efectivo_inicio,27333.0,27333.0,0.0,0.0,ACEPTADO
D_Descomposicion_Efectivo,Restringido + Sin restriccion = Inicio,2025,restriccion + sin_restriccion = c_efectivo_inicio,47069.0,47069.0,0.0,0.0,ACEPTADO
E_Aumento_Neto,Aumento = Op + Inv + Fin,2020,c_aumento_neto = op + inv + financiacion,-371.0,-371.0,0.0,-0.0,ACEPTADO
E_Aumento_Neto,Aumento = Op + Inv + Fin,2021,c_aumento_neto = op + inv + financiacion,-22934.0,-22934.0,0.0,-0.0,ACEPTADO
E_Aumento_Neto,Aumento = Op + Inv + Fin,2022,c_aumento_neto = op + inv + financiacion,-432.0,-432.0,0.0,-0.0,ACEPTADO
E_Aumento_Neto,Aumento = Op + Inv + Fin,2023,c_aumento_neto = op + inv + financiacion,6774.0,6774.0,0.0,0.0,ACEPTADO
E_Aumento_Neto,Aumento = Op + Inv + Fin,2024,c_aumento_neto = op + inv + financiacion,19736.0,19736.0,0.0,0.0,ACEPTADO
E_Aumento_Neto,Aumento = Op + Inv + Fin,2025,c_aumento_neto = op + inv + financiacion,-1049.0,-1049.0,0.0,-0.0,ACEPTADO
F_Cierre_vs_Balance,Cierre flujo = b_efectivo,2020,c_efectivo_cierre = b_efectivo,43925.0,43925.0,0.0,0.0,ACEPTADO
F_Cierre_vs_Balance,Cierre flujo = b_efectivo,2021,c_efectivo_cierre = b_efectivo,20991.0,20991.0,0.0,0.0,ACEPTADO
F_Cierre_vs_Balance,Cierre flujo = b_efectivo,2022,c_efectivo_cierre = b_efectivo,20559.0,20559.0,0.0,0.0,ACEPTADO
F_Cierre_vs_Balance,Cierre flujo = b_efectivo,2023,c_efectivo_cierre = b_efectivo,27333.0,27333.0,0.0,0.0,ACEPTADO
F_Cierre_vs_Balance,Cierre flujo = b_efectivo,2024,c_efectivo_cierre = b_efectivo,47069.0,47069.0,0.0,0.0,ACEPTADO
F_Cierre_vs_Balance,Cierre flujo = b_efectivo,2025,c_efectivo_cierre = b_efectivo,46020.0,46020.0,0.0,0.0,ACEPTADO
G_Resultado,Ejercicio = Antes impuestos - (corriente + diferido),2020,i_resultado_del_ejercicio = i_resultado_antes_impuestos - impuestos,58220.0,58220.0,0.0,0.0,ACEPTADO
G_Resultado,Ejercicio = Antes impuestos - (corriente + diferido),2021,i_resultado_del_ejercicio = i_resultado_antes_impuestos - impuestos,47632.0,47632.0,0.0,0.0,ACEPTADO
G_Resultado,Ejercicio = Antes impuestos - (corriente + diferido),2022,i_resultado_del_ejercicio = i_resultado_antes_impuestos - impuestos,36237.0,36237.0,0.0,0.0,ACEPTADO
G_Resultado,Ejercicio = Antes impuestos - (corriente + diferido),2023,i_resultado_del_ejercicio = i_resultado_antes_impuestos - impuestos,70126.0,70126.0,0.0,0.0,ACEPTADO
G_Resultado,Ejercicio = Antes impuestos - (corriente + diferido),2024,i_resultado_del_ejercicio = i_resultado_antes_impuestos - impuestos,20997.0,20997.0,0.0,0.0,ACEPTADO
G_Resultado,Ejercicio = Antes impuestos - (corriente + diferido),2025,i_resultado_del_ejercicio = i_resultado_antes_impuestos - impuestos,30947.0,30947.0,0.0,0.0,ACEPTADO
H_Resultado_Integral,Integral = Ejercicio + ORI total,2020,i_comprehensivo_total = i_resultado_del_ejercicio + i_ori_total,58074.0,58074.0,0.0,0.0,ACEPTADO
H_Resultado_Integral,Integral = Ejercicio + ORI total,2021,i_comprehensivo_total = i_resultado_del_ejercicio + i_ori_total,47132.0,47132.0,0.0,0.0,ACEPTADO
H_Resultado_Integral,Integral = Ejercicio + ORI total,2022,i_comprehensivo_total = i_resultado_del_ejercicio + i_ori_total,37309.0,37309.0,0.0,0.0,ACEPTADO
H_Resultado_Integral,Integral = Ejercicio + ORI total,2023,i_comprehensivo_total = i_resultado_del_ejercicio + i_ori_total,70063.0,70063.0,0.0,0.0,ACEPTADO
H_Resultado_Integral,Integral = Ejercicio + ORI total,2024,i_comprehensivo_total = i_resultado_del_ejercicio + i_ori_total,20927.0,20927.0,0.0,0.0,ACEPTADO
H_Resultado_Integral,Integral = Ejercicio + ORI total,2025,i_comprehensivo_total = i_resultado_del_ejercicio + i_ori_total,38010.0,38010.0,0.0,0.0,ACEPTADO
I_Reproducibilidad,EBIT id25 desde componentes,2020,EBIT = utilidad_bruta - gastos_gen - deterioro + otros,86251.0,86251.0,0.0,0.0,ACEPTADO
