variable_madre_id,cuenta_puc,concepto_src,indicador(es)_que_la_usan,fuente_esperada,tipo_variable,formula_calculo,tipo_dato,valores_posibles,regla_diseno,requerimiento_id
partes_relacionadas,pendiente,pendiente,,notas,primaria,,cuantitativo,,,REQ-PARTES_RELACIONADAS
evolucion_ingresos,pendiente,pendiente,roe; roa; margenes,calculado,calculada,(concepto:i_comisiones[t] + concepto:i_ingresos_operaciones_conjuntas[t]) / (concepto:i_comisiones[t-1] + concepto:i_ingresos_operaciones_conjuntas[t-1]) - 1,cuantitativo,,,REQ-EVOLUCION_INGRESOS
evolucion_utilidad,pendiente,pendiente,roe; roa; margenes,calculado,calculada,concepto:i_resultado_del_ejercicio[t] / concepto:i_resultado_del_ejercicio[t-1] - 1,cuantitativo,,,REQ-EVOLUCION_UTILIDAD
crecimiento_organico,pendiente,pendiente,analisis_negocio,calculado,calculada,(concepto:i_comisiones[t] + concepto:i_ingresos_operaciones_conjuntas[t]) / (concepto:i_comisiones[t-1] + concepto:i_ingresos_operaciones_conjuntas[t-1]) - 1,cuantitativo,,,REQ-CRECIMIENTO_ORGANICO
crecimiento_adquisiciones,pendiente,pendiente,analisis_estructural,informe_gestion,primaria,,cuantitativo,,,REQ-CRECIMIENTO_ADQUISICIONES
participacion_mercado,pendiente,pendiente,analisis_competitivo,informe_gestion,primaria,,cuantitativo,,,REQ-PARTICIPACION_MERCADO
ventas_por_segmento,pendiente,pendiente,roe_segmento,informe_gestion,primaria,,cuantitativo,,,REQ-VENTAS_POR_SEGMENTO
desempeno_por_segmento,pendiente,pendiente,margen_segmento,informe_gestion,primaria,,cuantitativo,,,REQ-DESEMPENO_POR_SEGMENTO
eficiencia_operativa,pendiente,pendiente,margenes; rotaciones,informe_gestion,primaria,,cuantitativo,,,REQ-EFICIENCIA_OPERATIVA
productividad,pendiente,pendiente,costos; margenes,calculado,calculada,concepto:i_ingresos_operacionales / concepto:numero_empleados,cuantitativo,,,REQ-PRODUCTIVIDAD
numero_empleados,pendiente,pendiente,roe_activos_persona,informe_gestion,primaria,,cuantitativo,,,REQ-NUMERO_EMPLEADOS
capex,pendiente,pendiente,flujo_libre,calculado,calculada,concepto:c_adquisicion_ppye + concepto:c_adquisicion_intangibles,cuantitativo,,,REQ-CAPEX
perspectivas,pendiente,pendiente,diagnostico_estrategico,informe_gestion,primaria,,cuantitativo,,,REQ-PERSPECTIVAS
riesgos,pendiente,pendiente,analisis_riesgo,informe_gestion,primaria,,cualitativo_texto_libre,,,REQ-RIESGOS
hechos_relevantes,pendiente,pendiente,eventos_posteriores,informe_gestion,primaria,,cualitativo_texto_libre,,,REQ-HECHOS_RELEVANTES
calidad_resultados,pendiente,pendiente,roe_roa_calidad,calculado,calculada,concepto:flujo_operativo / concepto:resultado_ejercicio,cuantitativo,,,REQ-CALIDAD_RESULTADOS
cumplimiento_covenants,pendiente,pendiente,wacc; endeudamiento,informe_gestion,primaria,,cuantitativo,,,REQ-CUMPLIMIENTO_COVENANTS
tipo_opinion,pendiente,pendiente,,informe_auditoria,primaria,,cualitativo_enum,"sin_salvedad, con_salvedad, adversa, abstencion",,REQ-TIPO_OPINION
opinion_limpia,pendiente,pendiente,,calculado,calculada,,cuantitativo,,,REQ-OPINION_LIMPIA
salvedades,pendiente,pendiente,,informe_auditoria,primaria,,cualitativo_texto_libre,"regla: solo contenido si tipo_opinion=con_salvedad; si sin_salvedad o global, NO_ENCONTRADO es el resultado esperado por diseno",condicion:tipo_opinion=sin_salvedad,REQ-SALVEDADES
opinion_adversa,pendiente,pendiente,,calculado,calculada,,cuantitativo,,,REQ-OPINION_ADVERSA
abstencion,pendiente,pendiente,,calculado,calculada,,cuantitativo,,,REQ-ABSTENCION
enfasis,pendiente,pendiente,,informe_auditoria,no_aplica_tipo_entidad,,cuantitativo,,,REQ-ENFASIS
cuestiones_key,pendiente,pendiente,,informe_auditoria,no_aplica_tipo_entidad,,cuantitativo,,,REQ-CUESTIONES_KEY
incertidumbre,pendiente,pendiente,,informe_auditoria,primaria,,cualitativo_texto_libre,,,REQ-INCERTIDUMBRE
tasa_efectiva_impuestos,pendiente,pendiente,,calculado,calculada,(concepto:i_gasto_impuesto_corriente + concepto:i_gasto_impuesto_diferido) / concepto:i_resultado_antes_impuestos,cuantitativo,,,REQ-TASA_EFECTIVA_IMPUESTOS
deuda_neta,pendiente,pendiente,,calculado,calculada,deuda_financiera_total - concepto:b_efectivo,cuantitativo,,,REQ-DEUDA_NETA
EBITDA,pendiente,pendiente,,calculado,calculada,concepto:i_resultado_operacional + concepto:i_depreciaciones + concepto:i_amortizaciones,cuantitativo,,,REQ-EBITDA
costo_deuda,pendiente,pendiente,,calculado,calculada,(concepto:c_intereses_pagados + concepto:c_intereses_arrendamiento) / deuda_financiera_total,cuantitativo,,,REQ-COSTO_DEUDA
costo_patrimonio,pendiente,pendiente,,parametro_externo_manual,calculada,,cuantitativo,,,REQ-COSTO_PATRIMONIO
resultado_antes_impuestos,pendiente,pendiente,,estados,primaria,,cuantitativo,,,REQ-RESULTADO_ANTES_IMPUESTOS
flujo_operativo,pendiente,pendiente,flujo_operativo; flujo_libre,calculado,calculada,concepto:i_resultado_del_ejercicio + concepto:i_depreciaciones + concepto:i_amortizaciones - variacion_CapTrabajo,cuantitativo,,Definicion canonica B0.4 corregida (2026-09-18): metodo indirecto; signo variacion_CapTrabajo restado (crece = salida de caja); sin CXC/i/CxP separadas.,REQ-FLUJO_OPERATIVO
flujo_libre,pendiente,pendiente,flujo_libre,calculado,calculada,flujo_operativo - capex,cuantitativo,,Definicion canonica B0.4: flujo_operativo - CAPEX.,REQ-FLUJO_LIBRE
proporcion_deuda,pendiente,pendiente,wacc,calculado,calculada,deuda_financiera_total / (deuda_financiera_total + concepto:b_patrimonio_total),cuantitativo,,Definicion canonica B0.4.,REQ-PROPORCION_DEUDA
proporcion_patrimonio,pendiente,pendiente,wacc,calculado,calculada,concepto:b_patrimonio_total / (deuda_financiera_total + concepto:b_patrimonio_total),cuantitativo,,Definicion canonica B0.4.,REQ-PROPORCION_PATRIMONIO
wacc,pendiente,pendiente,wacc,calculado,calculada,costo_deuda * (1 - tasa_estatutaria_impuestos) * proporcion_deuda + costo_patrimonio * proporcion_patrimonio,cuantitativo,,Definicion canonica B0.4 actualizada (2026-09-18): escudo fiscal con tasa estatutaria/marginal (norma academica) en vez de tasa efectiva; costo_patrimonio es parametro externo manual.,REQ-WACC
tasa_estatutaria_impuestos,pendiente,pendiente,wacc,parametro_externo_manual,calculada,,cuantitativo,,Tarifa general Art. 240 E.T. personas juridicas regimen ordinario (2020: 32%; 2021: 31% - Ley 2010/2019; 2022: 35% Ley 2155/2021; 2023+: 35% Ley 2277/2022). Sobretasa financieras (Par. 7) inexequible C-510/2019; verificar si aplica tarifa financieras 38% en 2023+. No proviene de los PDF,REQ-TASA_ESTATUTARIA_IMPUESTOS
