#,clasificacion,indicador,formula,2020,2021,2022,2023,2024,2025
42,Cobertura y capacidad de pago,Variacion de cuentas por cobrar,CxC actual / CxC anterior,,1.13039,1.23871,0.768485,0.584527,2.11093
43,Cobertura y capacidad de pago,Variacion inventarios,Inventarios actual / anterior,,,,,,
44,Cobertura y capacidad de pago,Variacion de cuentas por pagar,CxP actual / CxP anterior,,1.13746,0.849586,1.27804,0.604566,0.855504
45,Cobertura y capacidad de pago,Variacion de otros activos corrientes operativos,Otros activos corrientes operativos actual / anterior,,1.5914,1.17959,1.24691,1.15377,1.07523
46,Cobertura y capacidad de pago,Variacion de otros pasivos corrientes operativos,Otros pasivos corrientes operativos actual / anterior,,1.10505,1.05744,1.24796,0.96235,1.34351
47,Cobertura y capacidad de pago,"Variacion Propiedades, planta y equipo",PyE actual / PyE anterior,,0.92326,1.11538,0.999725,0.973704,1.23356
48,Cobertura y capacidad de pago,Variacion Activos intangibles,Intangibles actual / anterior,,0.802631,0.56305,1.39583,1.01185,0.999349
49,Cobertura y capacidad de pago,Variacion Otros activos no corrientes operativos,Otros activos no corrientes operativos actual / anterior,,0.783795,0.639594,1.22541,0.996781,0.947775
50,Cobertura y capacidad de pago,Flujo de caja operativo,EBITDA - Impuesto de renta + Variacion capital de trabajo,72603,55705,86292,22595,48620,73394
51,Cobertura y capacidad de pago,Flujo de caja disponible para deuda,FCO - Variacion PyE - Variacion intangibles - Variacion Otros activos NC operativos,,64941,96049,17387,49036,70010
52,Cobertura y capacidad de pago,Servicio de la deuda,Gastos financieros + Amortizacion de deuda,2151,1892,2205,2130,2478,2724
53,Cobertura y capacidad de pago,Indice de Cobertura del Servicio de la Deuda,Flujo de caja disponible para deuda / Servicio total de la deuda,,34.324,43.5596,8.16291,19.7885,25.7012
54,Cobertura y capacidad de pago,Deuda financiera,Obligaciones financieras corrientes + Obligaciones no corrientes,9689,7767,6207,6331,6117,5306
55,Cobertura y capacidad de pago,Deuda financiera / EBITDA,Obligaciones Financieras / EBITDA,0.0967584,0.0709458,0.0571521,0.0803212,0.112716,0.0738637
56,Cobertura y capacidad de pago,Deuda financiera neta / EBITDA,(Deuda financiera - Efectivo) / EBITDA,-0.341895,-0.120791,-0.132149,-0.266452,-0.754611,-0.566771
57,Crecimiento,Crecimiento de ingresos,(Ingresos actual / Ingresos anterior) - 1,,0.0379221,0.0769848,0.00440028,0.0262408,0.150168
58,Crecimiento,Crecimiento del EBITDA,(EBITDA actual / EBITDA anterior) - 1,,0.0932931,-0.0079742,-0.274242,-0.311491,0.323684
59,Crecimiento,Crecimiento del resultado operativo,(RO actual / RO anterior) - 1,,0.101228,-0.0211303,-0.262952,-0.424256,0.41793
60,Crecimiento,Crecimiento de utilidad neta,(Utilidad neta actual / anterior) - 1,,-0.181862,-0.23923,0.935204,-0.700582,0.473877
61,Crecimiento,Crecimiento de activos,(Activo total actual / anterior) - 1,,-0.0298575,-0.038655,0.122934,-0.162305,0.105312
62,Calidad de resultados,Calidad de resultados,Flujo de efectivo de actividades operativas / Utilidad neta,1.10842,1.33156,1.27155,0.662194,-0.353336,-0.481565
63,Calidad de resultados,Rotacion de activos,Ingresos operacionales / Activos totales,0.548176,0.586475,0.657022,0.587669,0.719939,0.749156
64,Calidad de resultados,Multiplicador de capital,((Activo actual + Activo anterior)/2) / ((Patrimonio actual + Patrimonio anterior)/2),,1.22817,1.25063,1.27619,1.25968,1.22185
65,Creacion de valor y DuPont,ROE DuPont,Margen neto x Rotacion de activos x Multiplicador de capital,,0.167967,0.135352,0.238027,0.0839776,0.108617
